dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,0.05,0.8017057569296375,0.8017057569296375,0.0,0.09678249678249679,0.09678249678249679,0.0,0,0,446,492,0.9065040650406504,0.9509594882729211
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,0.1,0.758288770053476,0.7572192513368984,0.0010695187165775666,0.1824967824967825,0.18223938223938224,0.00025740025740025874,1,-1,906,964,0.9398340248962656,0.9689839572192513
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,0.2,0.6944890315676833,0.6918138041733547,0.002675227394328572,0.3341055341055341,0.3328185328185328,0.0012870012870013214,5,-5,1820,1918,0.948905109489051,0.9737827715355806
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,0.3,0.645610278372591,0.6434689507494646,0.0021413276231263545,0.46563706563706564,0.4640926640926641,0.0015444015444015524,6,-6,2729,2875,0.9492173913043478,0.9739471805852962
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,0.05,0.8187633262260128,0.8017057569296375,0.017057569296375252,0.09884169884169884,0.09678249678249679,0.002059202059202056,8,-8,429,509,0.8428290766208252,0.9147121535181236
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,0.1,0.7593582887700535,0.7572192513368984,0.002139037433155133,0.18275418275418276,0.18223938223938224,0.0005148005148005175,2,-2,883,987,0.894630192502533,0.9443850267379679
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,0.2,0.695024077046549,0.6918138041733547,0.0032102728731943087,0.33436293436293435,0.3328185328185328,0.0015444015444015524,6,-6,1782,1956,0.911042944785276,0.9534510433386838
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,0.3,0.6409707351891506,0.6434689507494646,-0.0024982155603140432,0.4622908622908623,0.4640926640926641,-0.0018018018018017834,-7,7,2682,2922,0.917864476386037,0.9571734475374732
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,0.05,0.7995735607675906,0.8017057569296375,-0.002132196162046962,0.09652509652509653,0.09678249678249679,-0.00025740025740025874,-1,1,445,493,0.9026369168356998,0.9488272921108742
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,0.1,0.7572192513368984,0.7572192513368984,0.0,0.18223938223938224,0.18223938223938224,0.0,0,0,905,965,0.9378238341968912,0.9679144385026738
