dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,budget_fraction,alerts,true_alerts,false_alerts,precision,recall,lift,exploratory
oulad,all,future_fail_or_withdrawn,day14,full,histgb,standard,main,day14__full__standard,bd6d040dd9b37418f4a44e3bd845ac1885f4131671e56e4898268457f580037d,0.05,469,376,93,0.8017057569296375,0.09678249678249679,1.9255383315084809,
oulad,all,future_fail_or_withdrawn,day14,full,histgb,standard,main,day14__full__standard,bd6d040dd9b37418f4a44e3bd845ac1885f4131671e56e4898268457f580037d,0.1,935,708,227,0.7572192513368984,0.18223938223938224,1.818690562219974,
oulad,all,future_fail_or_withdrawn,day14,full,histgb,standard,main,day14__full__standard,bd6d040dd9b37418f4a44e3bd845ac1885f4131671e56e4898268457f580037d,0.2,1869,1293,576,0.6918138041733547,0.3328185328185328,1.6615996413749223,
oulad,all,future_fail_or_withdrawn,day14,full,histgb,standard,main,day14__full__standard,bd6d040dd9b37418f4a44e3bd845ac1885f4131671e56e4898268457f580037d,0.3,2802,1803,999,0.6434689507494646,0.4640926640926641,1.5454848853135792,
oulad,all,future_fail_or_withdrawn,day14,loo_no_age_band,histgb,standard,leave_one_out,day14__loo_no_age_band__standard,1dec2feb1da66aec9524b8e9087e304c0c2c4e1e937c3b291204bdaa92cb4167,0.05,469,376,93,0.8017057569296375,0.09678249678249679,1.9255383315084809,
oulad,all,future_fail_or_withdrawn,day14,loo_no_age_band,histgb,standard,leave_one_out,day14__loo_no_age_band__standard,1dec2feb1da66aec9524b8e9087e304c0c2c4e1e937c3b291204bdaa92cb4167,0.1,935,709,226,0.758288770053476,0.1824967824967825,1.8212593342005108,
oulad,all,future_fail_or_withdrawn,day14,loo_no_age_band,histgb,standard,leave_one_out,day14__loo_no_age_band__standard,1dec2feb1da66aec9524b8e9087e304c0c2c4e1e937c3b291204bdaa92cb4167,0.2,1869,1298,571,0.6944890315676833,0.3341055341055341,1.6680250073508502,
oulad,all,future_fail_or_withdrawn,day14,loo_no_age_band,histgb,standard,leave_one_out,day14__loo_no_age_band__standard,1dec2feb1da66aec9524b8e9087e304c0c2c4e1e937c3b291204bdaa92cb4167,0.3,2802,1809,993,0.645610278372591,0.46563706563706564,1.550627929857052,
oulad,all,future_fail_or_withdrawn,day14,loo_no_disability,histgb,standard,leave_one_out,day14__loo_no_disability__standard,ac0ff76eccffdfff15865f7cc29be50e73a688bc4a6c3bfb9c1553bfc1b03ece,0.05,469,384,85,0.8187633262260128,0.09884169884169884,1.966507232178874,
oulad,all,future_fail_or_withdrawn,day14,loo_no_disability,histgb,standard,leave_one_out,day14__loo_no_disability__standard,ac0ff76eccffdfff15865f7cc29be50e73a688bc4a6c3bfb9c1553bfc1b03ece,0.1,935,710,225,0.7593582887700535,0.18275418275418276,1.8238281061810475,
oulad,all,future_fail_or_withdrawn,day14,loo_no_disability,histgb,standard,leave_one_out,day14__loo_no_disability__standard,ac0ff76eccffdfff15865f7cc29be50e73a688bc4a6c3bfb9c1553bfc1b03ece,0.2,1869,1299,570,0.695024077046549,0.33436293436293435,1.6693100805460357,
oulad,all,future_fail_or_withdrawn,day14,loo_no_disability,histgb,standard,leave_one_out,day14__loo_no_disability__standard,ac0ff76eccffdfff15865f7cc29be50e73a688bc4a6c3bfb9c1553bfc1b03ece,0.3,2802,1796,1006,0.6409707351891506,0.4622908622908623,1.5394846666795274,
oulad,all,future_fail_or_withdrawn,day14,loo_no_gender,histgb,standard,leave_one_out,day14__loo_no_gender__standard,3610fc6f08799eb3fdf5ff710ec43f31512f9ddfb9bcd24385fe4eb401002dcc,0.05,469,375,94,0.7995735607675906,0.09652509652509653,1.9204172189246815,
oulad,all,future_fail_or_withdrawn,day14,loo_no_gender,histgb,standard,leave_one_out,day14__loo_no_gender__standard,3610fc6f08799eb3fdf5ff710ec43f31512f9ddfb9bcd24385fe4eb401002dcc,0.1,935,708,227,0.7572192513368984,0.18223938223938224,1.818690562219974,
oulad,all,future_fail_or_withdrawn,day14,loo_no_gender,histgb,standard,leave_one_out,day14__loo_no_gender__standard,3610fc6f08799eb3fdf5ff710ec43f31512f9ddfb9bcd24385fe4eb401002dcc,0.2,1869,1290,579,0.6902086677367576,0.33204633204633205,1.6577444217893655,
oulad,all,future_fail_or_withdrawn,day14,loo_no_gender,histgb,standard,leave_one_out,day14__loo_no_gender__standard,3610fc6f08799eb3fdf5ff710ec43f31512f9ddfb9bcd24385fe4eb401002dcc,0.3,2802,1807,995,0.6448965024982155,0.4651222651222651,1.5489135816758943,
oulad,all,future_fail_or_withdrawn,day14,loo_no_highest_education,histgb,standard,leave_one_out,day14__loo_no_highest_education__standard,c494ce1740221d6e69e090dca71f049540a169d6b30631fcc47f806d3379cb73,0.05,469,364,105,0.7761194029850746,0.0936936936936937,1.8640849805028912,
oulad,all,future_fail_or_withdrawn,day14,loo_no_highest_education,histgb,standard,leave_one_out,day14__loo_no_highest_education__standard,c494ce1740221d6e69e090dca71f049540a169d6b30631fcc47f806d3379cb73,0.1,935,676,259,0.7229946524064171,0.174002574002574,1.7364898588428002,
oulad,all,future_fail_or_withdrawn,day14,loo_no_highest_education,histgb,standard,leave_one_out,day14__loo_no_highest_education__standard,c494ce1740221d6e69e090dca71f049540a169d6b30631fcc47f806d3379cb73,0.2,1869,1255,614,0.671482075976458,0.323037323037323,1.6127668599578713,
oulad,all,future_fail_or_withdrawn,day14,loo_no_highest_education,histgb,standard,leave_one_out,day14__loo_no_highest_education__standard,c494ce1740221d6e69e090dca71f049540a169d6b30631fcc47f806d3379cb73,0.3,2802,1772,1030,0.6324054246966453,0.4561132561132561,1.5189124885056364,
oulad,all,future_fail_or_withdrawn,day14,loo_no_imd_band,histgb,standard,leave_one_out,day14__loo_no_imd_band__standard,cb79c8b00b681a3ccc44e86f0cf6d0eb01990c840bf58c70788bbf0bcafd6f08,0.05,469,366,103,0.7803837953091685,0.09420849420849421,1.8743272056704894,
oulad,all,future_fail_or_withdrawn,day14,loo_no_imd_band,histgb,standard,leave_one_out,day14__loo_no_imd_band__standard,cb79c8b00b681a3ccc44e86f0cf6d0eb01990c840bf58c70788bbf0bcafd6f08,0.1,935,704,231,0.7529411764705882,0.1812097812097812,1.8084154742978273,
oulad,all,future_fail_or_withdrawn,day14,loo_no_imd_band,histgb,standard,leave_one_out,day14__loo_no_imd_band__standard,cb79c8b00b681a3ccc44e86f0cf6d0eb01990c840bf58c70788bbf0bcafd6f08,0.2,1869,1290,579,0.6902086677367576,0.33204633204633205,1.6577444217893655,
oulad,all,future_fail_or_withdrawn,day14,loo_no_imd_band,histgb,standard,leave_one_out,day14__loo_no_imd_band__standard,cb79c8b00b681a3ccc44e86f0cf6d0eb01990c840bf58c70788bbf0bcafd6f08,0.3,2802,1787,1015,0.6377587437544611,0.45997425997425995,1.5317700998643182,
oulad,all,future_fail_or_withdrawn,day14,loo_no_region,histgb,standard,leave_one_out,day14__loo_no_region__standard,0fb37ab927c18d12a5be8e2a378511c4b2ce8ff92f97b06bc953ed3d6de1debd,0.05,469,374,95,0.7974413646055437,0.09626769626769627,1.9152961063408824,
oulad,all,future_fail_or_withdrawn,day14,loo_no_region,histgb,standard,leave_one_out,day14__loo_no_region__standard,0fb37ab927c18d12a5be8e2a378511c4b2ce8ff92f97b06bc953ed3d6de1debd,0.1,935,704,231,0.7529411764705882,0.1812097812097812,1.8084154742978273,
oulad,all,future_fail_or_withdrawn,day14,loo_no_region,histgb,standard,leave_one_out,day14__loo_no_region__standard,0fb37ab927c18d12a5be8e2a378511c4b2ce8ff92f97b06bc953ed3d6de1debd,0.2,1869,1303,566,0.6971642589620117,0.3353925353925354,1.6744503733267777,
oulad,all,future_fail_or_withdrawn,day14,loo_no_region,histgb,standard,leave_one_out,day14__loo_no_region__standard,0fb37ab927c18d12a5be8e2a378511c4b2ce8ff92f97b06bc953ed3d6de1debd,0.3,2802,1797,1005,0.6413276231263383,0.46254826254826253,1.5403418407701062,
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,main,day14__minimized__standard,d7715d6f7eb834363af42df6ae734468e0d237907cf519f46828e7c9719f7e92,0.05,469,359,110,0.7654584221748401,0.0924066924066924,1.8384794175838952,
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,main,day14__minimized__standard,d7715d6f7eb834363af42df6ae734468e0d237907cf519f46828e7c9719f7e92,0.1,935,670,265,0.7165775401069518,0.17245817245817247,1.72107722695958,
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,main,day14__minimized__standard,d7715d6f7eb834363af42df6ae734468e0d237907cf519f46828e7c9719f7e92,0.2,1869,1252,617,0.6698769395398609,0.3222651222651223,1.6089116403723147,
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,main,day14__minimized__standard,d7715d6f7eb834363af42df6ae734468e0d237907cf519f46828e7c9719f7e92,0.3,2802,1745,1057,0.6227694503925767,0.4491634491634492,1.4957687880600086,
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,main,day14__partial_gender_disability__standard,59b201f58f515191a35ca2726f5fbd160f9d2a5e735395fc1aca054c314271f8,0.05,469,376,93,0.8017057569296375,0.09678249678249679,1.9255383315084809,
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,main,day14__partial_gender_disability__standard,59b201f58f515191a35ca2726f5fbd160f9d2a5e735395fc1aca054c314271f8,0.1,935,709,226,0.758288770053476,0.1824967824967825,1.8212593342005108,
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,main,day14__partial_gender_disability__standard,59b201f58f515191a35ca2726f5fbd160f9d2a5e735395fc1aca054c314271f8,0.2,1869,1303,566,0.6971642589620117,0.3353925353925354,1.6744503733267777,
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,main,day14__partial_gender_disability__standard,59b201f58f515191a35ca2726f5fbd160f9d2a5e735395fc1aca054c314271f8,0.3,2802,1791,1011,0.639186295503212,0.461003861003861,1.5351987962266336,
oulad,all,future_fail_or_withdrawn,day28,full,histgb,standard,main,day28__full__standard,3c5034d7ca2ae6d6d9d9a6db40147e3e894241db1aef2efae2c789d2db808fa7,0.05,463,411,52,0.8876889848812095,0.10945406125166444,2.1774975338857043,
oulad,all,future_fail_or_withdrawn,day28,full,histgb,standard,main,day28__full__standard,3c5034d7ca2ae6d6d9d9a6db40147e3e894241db1aef2efae2c789d2db808fa7,0.1,923,764,159,0.8277356446370531,0.20346205059920106,2.0304322297608244,
