dataset,subject,outcome,stage,policy,model,grid,precision_difference_at_10pct,minimum_precision_difference,maximum_precision_difference,negative_budget_count,zero_budget_count,positive_budget_count,strict_sign_reversal_across_budgets,contains_exact_zero
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,-0.04064171122994653,-0.04064171122994653,-0.020699500356887945,4,0,0,False,False
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,0.0010695187165775666,-0.004282655246252598,0.005350454788657033,1,1,2,True,True
oulad,all,future_fail_or_withdrawn,day28,minimized,histgb,standard,-0.0021668472372697867,-0.01988430947216191,0.002159827213822907,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,-0.0010834236186348933,-0.005422993492407824,0.0043360433604336945,2,0,2,True,False
oulad,all,future_fail_or_withdrawn,day42,minimized,histgb,standard,-0.00770925110132159,-0.015095729013254844,0.01754385964912275,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day42,partial_gender_disability,histgb,standard,-0.004405286343612258,-0.004405286343612258,0.002192982456140302,2,0,2,True,False
oulad,all,future_fail_or_withdrawn,day56,minimized,histgb,standard,0.003370786516853963,-0.019879969992498192,0.003370786516853963,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day56,partial_gender_disability,histgb,standard,0.0022471910112359383,-0.003374578177727794,0.0022471910112359383,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day70,minimized,histgb,standard,-0.004581901489117968,-0.015319800842588993,0.006849315068493067,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day70,partial_gender_disability,histgb,standard,-0.002290950744558984,-0.004212945231711895,0.0022831050228310223,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day90,minimized,histgb,standard,0.009356725146198785,-0.008196721311475419,0.009356725146198785,3,0,1,True,False
oulad,all,future_fail_or_withdrawn,day90,partial_gender_disability,histgb,standard,0.0035087719298245723,-0.002331002331002363,0.0035087719298245723,1,0,3,True,False
uci320,mathematics,fail_g3_lt_10,baseline,no_demographic_family,histgb,c13_selected,-0.07499999999999996,-0.19047619047619047,0.10084033613445381,3,0,1,True,False
uci320,mathematics,fail_g3_lt_10,baseline,no_sensitive_wellbeing,histgb,c13_selected,0.0,0.0,0.03749999999999998,0,2,2,False,True
uci320,mathematics,fail_g3_lt_10,baseline,school_observable_only,histgb,c13_selected,0.0,-0.04761904761904756,0.10084033613445381,1,1,2,True,True
uci320,mathematics,fail_g3_lt_10,baseline,targeted_no_sex,histgb,c13_selected,-0.04999999999999993,-0.04999999999999993,-0.008403361344537785,4,0,0,False,False
uci320,mathematics,fail_g3_lt_10,period1,no_demographic_family,histgb,c13_selected,-0.025000000000000022,-0.04761904761904767,0.025210084033613467,3,0,1,True,False
uci320,mathematics,fail_g3_lt_10,period1,no_sensitive_wellbeing,histgb,c13_selected,0.04999999999999993,-0.04761904761904767,0.050420168067226934,2,0,2,True,False
uci320,mathematics,fail_g3_lt_10,period1,school_observable_only,histgb,c13_selected,-0.050000000000000044,-0.1428571428571429,0.05882352941176472,2,0,2,True,False
uci320,mathematics,fail_g3_lt_10,period1,targeted_no_sex,histgb,c13_selected,0.04999999999999993,-0.04761904761904767,0.04999999999999993,2,0,2,True,False
uci320,mathematics,fail_g3_lt_10,period2,no_demographic_family,histgb,c13_selected,0.0,-0.012500000000000067,0.0,1,3,0,False,True
uci320,mathematics,fail_g3_lt_10,period2,no_sensitive_wellbeing,histgb,c13_selected,-0.025000000000000022,-0.04761904761904767,0.0,3,1,0,False,True
uci320,mathematics,fail_g3_lt_10,period2,school_observable_only,histgb,c13_selected,0.0,-0.01680672268907568,0.012499999999999956,1,2,1,True,True
uci320,mathematics,fail_g3_lt_10,period2,targeted_no_sex,histgb,c13_selected,0.025000000000000022,-0.012500000000000067,0.025000000000000022,1,2,1,True,True
uci320,portuguese,fail_g3_lt_10,baseline,no_demographic_family,histgb,c13_selected,0.0,0.0,0.14705882352941174,0,1,3,False,True
uci320,portuguese,fail_g3_lt_10,baseline,no_sensitive_wellbeing,histgb,c13_selected,-0.03030303030303033,-0.03030303030303033,0.05882352941176466,3,0,1,True,False
uci320,portuguese,fail_g3_lt_10,baseline,school_observable_only,histgb,c13_selected,0.0,-0.020512820512820495,0.05882352941176466,1,2,1,True,True
uci320,portuguese,fail_g3_lt_10,baseline,targeted_no_sex,histgb,c13_selected,-0.03030303030303033,-0.03030303030303033,0.029411764705882304,2,0,2,True,False
uci320,portuguese,fail_g3_lt_10,period1,no_demographic_family,histgb,c13_selected,-0.030303030303030387,-0.030303030303030387,0.02290076335877861,2,1,1,True,True
uci320,portuguese,fail_g3_lt_10,period1,no_sensitive_wellbeing,histgb,c13_selected,0.015151515151515138,0.0,0.02941176470588236,0,1,3,False,True
uci320,portuguese,fail_g3_lt_10,period1,school_observable_only,histgb,c13_selected,-0.030303030303030387,-0.030303030303030387,0.05882352941176472,2,1,1,True,True
uci320,portuguese,fail_g3_lt_10,period1,targeted_no_sex,histgb,c13_selected,-0.045454545454545525,-0.045454545454545525,0.02941176470588236,2,0,2,True,False
uci320,portuguese,fail_g3_lt_10,period2,no_demographic_family,histgb,c13_selected,-0.015151515151515138,-0.022900763358778664,0.01025641025641022,2,1,1,True,True
uci320,portuguese,fail_g3_lt_10,period2,no_sensitive_wellbeing,histgb,c13_selected,0.0,-0.007633587786259555,0.05882352941176472,2,1,1,True,True
uci320,portuguese,fail_g3_lt_10,period2,school_observable_only,histgb,c13_selected,0.015151515151515138,-0.022900763358778664,0.02941176470588236,1,0,3,True,False
uci320,portuguese,fail_g3_lt_10,period2,targeted_no_sex,histgb,c13_selected,-0.015151515151515138,-0.015151515151515138,0.02941176470588236,1,1,2,True,True
uci697,all,dropout_vs_graduate,enrollment,legacy_operational,histgb,c13_selected,-0.3261455525606469,-0.3492063492063492,-0.17974452554744524,4,0,0,False,False
uci697,all,dropout_vs_graduate,enrollment,no_direct_personal,histgb,c13_selected,-0.005390835579514808,-0.010582010582010581,-0.0013642564802183177,4,0,0,False,False
uci697,all,dropout_vs_graduate,enrollment,no_family_financial,histgb,c13_selected,-0.21832884097035044,-0.23809523809523803,-0.125,4,0,0,False,False
uci697,all,dropout_vs_graduate,enrollment,targeted_gender_special_needs,histgb,c13_selected,0.008086253369272267,-0.009124087591240837,0.008086253369272267,2,0,2,True,False
uci697,all,dropout_vs_graduate,semester1,legacy_operational,histgb,c13_selected,-0.013477088948787075,-0.03558394160583944,-0.013477088948787075,4,0,0,False,False
uci697,all,dropout_vs_graduate,semester1,no_direct_personal,histgb,c13_selected,0.0,-0.005291005291005346,0.0,1,3,0,False,True
uci697,all,dropout_vs_graduate,semester1,no_family_financial,histgb,c13_selected,-0.013477088948787075,-0.02645502645502651,-0.013477088948787075,4,0,0,False,False
uci697,all,dropout_vs_graduate,semester1,targeted_gender_special_needs,histgb,c13_selected,0.0,-0.0045620437956204185,0.0,2,2,0,False,True
