dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,budget_fraction,restricted_precision,full_precision,precision_difference,restricted_recall,full_recall,recall_difference,true_alert_difference,false_alert_difference,alert_intersection,alert_union,alert_jaccard_vs_full,retained_full_alert_fraction
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.05,0.7654584221748401,0.8017057569296375,-0.03624733475479747,0.0924066924066924,0.09678249678249679,-0.004375804375804385,-17,17,304,634,0.4794952681388013,0.6481876332622601
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.1,0.7165775401069518,0.7572192513368984,-0.04064171122994653,0.17245817245817247,0.18223938223938224,-0.009781209781209776,-38,38,645,1225,0.5265306122448979,0.6898395721925134
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.2,0.6698769395398609,0.6918138041733547,-0.021936864633493758,0.3222651222651223,0.3328185328185328,-0.010553410553410525,-41,41,1386,2352,0.5892857142857143,0.7415730337078652
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,full,day14__minimized__standard,day14__full__standard,0.3,0.6227694503925767,0.6434689507494646,-0.020699500356887945,0.4491634491634492,0.4640926640926641,-0.014929214929214896,-58,58,2188,3416,0.6405152224824356,0.780870806566738
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.05,0.8017057569296375,0.8017057569296375,0.0,0.09678249678249679,0.09678249678249679,0.0,0,0,424,514,0.8249027237354085,0.9040511727078892
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.1,0.758288770053476,0.7572192513368984,0.0010695187165775666,0.1824967824967825,0.18223938223938224,0.00025740025740025874,1,-1,881,989,0.890798786653185,0.9422459893048128
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.2,0.6971642589620117,0.6918138041733547,0.005350454788657033,0.3353925353925354,0.3328185328185328,0.0025740025740025874,10,-10,1773,1965,0.9022900763358779,0.9486356340288925
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,full,day14__partial_gender_disability__standard,day14__full__standard,0.3,0.639186295503212,0.6434689507494646,-0.004282655246252598,0.461003861003861,0.4640926640926641,-0.003088803088803105,-12,12,2679,2925,0.9158974358974359,0.9561027837259101
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.05,0.8898488120950324,0.8876889848812095,0.002159827213822907,0.10972037283621837,0.10945406125166444,0.00026631158455392434,1,-1,323,603,0.5356550580431177,0.6976241900647948
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.1,0.8255687973997833,0.8277356446370531,-0.0021668472372697867,0.2029294274300932,0.20346205059920106,-0.0005326231691078487,-2,2,764,1082,0.7060998151571165,0.8277356446370531
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.2,0.7040650406504065,0.7192411924119241,-0.015176151761517542,0.3459387483355526,0.3533954727030626,-0.007456724367509993,-28,28,1412,2278,0.6198419666374012,0.7653116531165312
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,full,day28__minimized__standard,day28__full__standard,0.3,0.6384671005061461,0.658351409978308,-0.01988430947216191,0.470306258322237,0.48495339547270305,-0.01464713715046606,-55,55,2109,3423,0.6161262050832603,0.762472885032538
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.05,0.8898488120950324,0.8876889848812095,0.002159827213822907,0.10972037283621837,0.10945406125166444,0.00026631158455392434,1,-1,415,511,0.812133072407045,0.896328293736501
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.1,0.8266522210184182,0.8277356446370531,-0.0010834236186348933,0.20319573901464713,0.20346205059920106,-0.00026631158455392434,-1,1,862,984,0.8760162601626016,0.933911159263272
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.2,0.7235772357723578,0.7192411924119241,0.0043360433604336945,0.355525965379494,0.3533954727030626,0.0021304926764313947,8,-8,1705,1985,0.8589420654911839,0.924119241192412
oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,full,day28__partial_gender_disability__standard,day28__full__standard,0.3,0.6529284164859002,0.658351409978308,-0.005422993492407824,0.48095872170439413,0.48495339547270305,-0.003994673768308921,-15,15,2586,2946,0.8778004073319755,0.9349240780911063
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.05,0.9210526315789473,0.9035087719298246,0.01754385964912275,0.1171875,0.11495535714285714,0.002232142857142863,8,-8,349,563,0.6198934280639432,0.7653508771929824
oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,full,day42__minimized__standard,day42__full__standard,0.1,0.8392070484581498,0.8469162995594713,-0.00770925110132159,0.21261160714285715,0.21456473214285715,-0.001953125,-7,7,739,1077,0.6861652739090065,0.8138766519823789
