dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,average_precision,0.6364594005815677,0.6366484237853657,-0.00018902320379798887
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,auroc,0.707330117484359,0.7073367344575571,-6.616973198037002e-06
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,full,day14__loo_no_age_band__standard,day14__full__standard,brier,0.21538512252406697,0.2153607814550062,2.434106906076816e-05
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,average_precision,0.6351135035240372,0.6366484237853657,-0.0015349202613285096
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,auroc,0.7063924214860682,0.7073367344575571,-0.000944312971488892
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,full,day14__loo_no_disability__standard,day14__full__standard,brier,0.21570806487201172,0.2153607814550062,0.00034728341700551724
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,average_precision,0.6365496309012065,0.6366484237853657,-9.8792884159149e-05
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,auroc,0.7074051492340144,0.7073367344575571,6.84147764573595e-05
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,full,day14__loo_no_gender__standard,day14__full__standard,brier,0.21535997750942196,0.2153607814550062,-8.039455842434595e-07
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,average_precision,0.6229266846734398,0.6366484237853657,-0.013721739111925868
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,auroc,0.69935888619326,0.7073367344575571,-0.007977848264297038
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,full,day14__loo_no_highest_education__standard,day14__full__standard,brier,0.21804749844700744,0.2153607814550062,0.002686716992001237
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,average_precision,0.6326606597847907,0.6366484237853657,-0.003987764000574989
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,auroc,0.7044027449095388,0.7073367344575571,-0.0029339895480182676
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,full,day14__loo_no_imd_band__standard,day14__full__standard,brier,0.21643061211618947,0.2153607814550062,0.0010698306611832686
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,average_precision,0.6366715365147795,0.6366484237853657,2.3112729413798938e-05
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,auroc,0.7074925405443216,0.7073367344575571,0.00015580608676457608
oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,full,day14__loo_no_region__standard,day14__full__standard,brier,0.21520259277142625,0.2153607814550062,-0.0001581886835799462
