dataset,subject,outcome,stage,policy,model,grid,analysis_group,config_id,source_prediction_sha256,n,risk_cases,prevalence,average_precision,auroc,brier,exploratory
oulad,all,future_fail_or_withdrawn,day14,full,histgb,standard,main,day14__full__standard,bd6d040dd9b37418f4a44e3bd845ac1885f4131671e56e4898268457f580037d,9331,3885,0.4163540885221305,0.6366484237853657,0.7073367344575571,0.2153607814550062,
oulad,all,future_fail_or_withdrawn,day14,loo_no_age_band,histgb,standard,leave_one_out,day14__loo_no_age_band__standard,1dec2feb1da66aec9524b8e9087e304c0c2c4e1e937c3b291204bdaa92cb4167,9331,3885,0.4163540885221305,0.6364594005815677,0.707330117484359,0.21538512252406697,
oulad,all,future_fail_or_withdrawn,day14,loo_no_disability,histgb,standard,leave_one_out,day14__loo_no_disability__standard,ac0ff76eccffdfff15865f7cc29be50e73a688bc4a6c3bfb9c1553bfc1b03ece,9331,3885,0.4163540885221305,0.6351135035240372,0.7063924214860682,0.21570806487201172,
oulad,all,future_fail_or_withdrawn,day14,loo_no_gender,histgb,standard,leave_one_out,day14__loo_no_gender__standard,3610fc6f08799eb3fdf5ff710ec43f31512f9ddfb9bcd24385fe4eb401002dcc,9331,3885,0.4163540885221305,0.6365496309012065,0.7074051492340144,0.21535997750942196,
oulad,all,future_fail_or_withdrawn,day14,loo_no_highest_education,histgb,standard,leave_one_out,day14__loo_no_highest_education__standard,c494ce1740221d6e69e090dca71f049540a169d6b30631fcc47f806d3379cb73,9331,3885,0.4163540885221305,0.6229266846734398,0.69935888619326,0.21804749844700744,
oulad,all,future_fail_or_withdrawn,day14,loo_no_imd_band,histgb,standard,leave_one_out,day14__loo_no_imd_band__standard,cb79c8b00b681a3ccc44e86f0cf6d0eb01990c840bf58c70788bbf0bcafd6f08,9331,3885,0.4163540885221305,0.6326606597847907,0.7044027449095388,0.21643061211618947,
oulad,all,future_fail_or_withdrawn,day14,loo_no_region,histgb,standard,leave_one_out,day14__loo_no_region__standard,0fb37ab927c18d12a5be8e2a378511c4b2ce8ff92f97b06bc953ed3d6de1debd,9331,3885,0.4163540885221305,0.6366715365147795,0.7074925405443216,0.21520259277142625,
oulad,all,future_fail_or_withdrawn,day14,minimized,histgb,standard,main,day14__minimized__standard,d7715d6f7eb834363af42df6ae734468e0d237907cf519f46828e7c9719f7e92,9331,3885,0.4163540885221305,0.6150582954510389,0.6911683731367904,0.22030333576891256,
oulad,all,future_fail_or_withdrawn,day14,partial_gender_disability,histgb,standard,main,day14__partial_gender_disability__standard,59b201f58f515191a35ca2726f5fbd160f9d2a5e735395fc1aca054c314271f8,9331,3885,0.4163540885221305,0.6332279765393463,0.7054961997305002,0.21607840314053772,
oulad,all,future_fail_or_withdrawn,day28,full,histgb,standard,main,day28__full__standard,3c5034d7ca2ae6d6d9d9a6db40147e3e894241db1aef2efae2c789d2db808fa7,9211,3755,0.4076647486700684,0.6799420283695042,0.7353842481774057,0.20120978866851247,
oulad,all,future_fail_or_withdrawn,day28,minimized,histgb,standard,main,day28__minimized__standard,c6772637afa7c5d3d320d5790ebbbe1ecd2ed908840eeb278de6316e85854b9c,9211,3755,0.4076647486700684,0.664315453665089,0.7198290353819541,0.20560131243744478,
oulad,all,future_fail_or_withdrawn,day28,partial_gender_disability,histgb,standard,main,day28__partial_gender_disability__standard,0a35ac21ccbc61cc2b0f2bbdb924dc9b5600f4850a8c1027e940477e05496e38,9211,3755,0.4076647486700684,0.6800527029209623,0.7348146264413822,0.20133869092828585,
oulad,all,future_fail_or_withdrawn,day42,full,histgb,standard,main,day42__full__standard,d228aad69a6059165b275e6dd90e09daa076a3a4ec3452d433c70e760639927e,9040,3584,0.39646017699115044,0.6943168428968944,0.7603274961870287,0.19092349066529288,
oulad,all,future_fail_or_withdrawn,day42,loo_no_age_band,histgb,standard,leave_one_out,day42__loo_no_age_band__standard,1c6f0e0d03ad4a00398fa0b148d60d4de331d714614bc047bb15c4fc96704306,9040,3584,0.39646017699115044,0.6958765824379238,0.7605271964678466,0.1908251412154663,
oulad,all,future_fail_or_withdrawn,day42,loo_no_disability,histgb,standard,leave_one_out,day42__loo_no_disability__standard,4a710bd72575f5fc119b95c72896557dc5e9e758d3a234d6d7f483603cc26027,9040,3584,0.39646017699115044,0.6919890626216849,0.757803755122146,0.19181632551600394,
oulad,all,future_fail_or_withdrawn,day42,loo_no_gender,histgb,standard,leave_one_out,day42__loo_no_gender__standard,acebf1ffc528d51dd76c3cc5384396cb0ab0c6495132de5daf37a9b451a7b627,9040,3584,0.39646017699115044,0.694313208676182,0.7598310581649954,0.1911405663636373,
