dataset,subject,stage,target_field,positive_class,model,config_id,threshold_median,threshold_min,threshold_max,evaluation_cohort,n,positive_cases,prevalence,auroc,average_precision,ap_lift_over_prevalence,balanced_accuracy,brier,constant_prevalence_brier
oulad,all,day14,gender,M,logistic,oulad__day14__gender__logistic,0.3580985825514557,0.3580985825514557,0.3580985825514557,all_2014J,9331,5425,0.5813953488372093,0.8004935099256493,0.8184320844236366,1.4077031852086548,0.7429032258064516,0.17437597887085127,0.243374797187669
oulad,all,day14,gender,M,logistic,oulad__day14__gender__logistic,0.3580985825514557,0.3580985825514557,0.3580985825514557,unseen_student_2014J,8526,4841,0.5677926342950973,0.8081904705314202,0.8188893733144835,1.4422331743192083,0.7466325767268893,0.1717599376952082,0.2454041587353312
oulad,all,day14,gender,M,histgb,oulad__day14__gender__histgb,0.5020464744906592,0.5020464744906592,0.5020464744906592,all_2014J,9331,5425,0.5813953488372093,0.8118947336131818,0.8259066862841934,1.4205595004088125,0.7433998975934459,0.164678045037092,0.243374797187669
oulad,all,day14,gender,M,histgb,oulad__day14__gender__histgb,0.5020464744906592,0.5020464744906592,0.5020464744906592,unseen_student_2014J,8526,4841,0.5677926342950973,0.8130910301733525,0.8202551566092143,1.444638600547441,0.746897752883626,0.16631849508643334,0.2454041587353312
oulad,all,day14,disability,Y,logistic,oulad__day14__disability__logistic,0.09847086141565453,0.09847086141565453,0.09847086141565453,all_2014J,9331,868,0.09302325581395349,0.6803991187445921,0.15627061857153418,1.6799091496439924,0.6411438024341249,0.08175174696518596,0.08436992969172526
oulad,all,day14,disability,Y,logistic,oulad__day14__disability__logistic,0.09847086141565453,0.09847086141565453,0.09847086141565453,unseen_student_2014J,8526,764,0.08960825709594182,0.6761805061846478,0.14492466183395036,1.6173136999951059,0.6398016042715822,0.07940455011089172,0.08157861735616942
oulad,all,day14,disability,Y,histgb,oulad__day14__disability__histgb,0.09751020227404773,0.09751020227404773,0.09751020227404773,all_2014J,9331,868,0.09302325581395349,0.6809783546813426,0.15383200585432028,1.653694062933943,0.6295787545787546,0.08185243648549355,0.08436992969172526
oulad,all,day14,disability,Y,histgb,oulad__day14__disability__histgb,0.09751020227404773,0.09751020227404773,0.09751020227404773,unseen_student_2014J,8526,764,0.08960825709594182,0.6773453972973447,0.1441332359878831,1.6084816361684442,0.6279570831720114,0.07945807350662566,0.08157861735616942
oulad,all,day28,gender,M,logistic,oulad__day28__gender__logistic,0.5704547679182406,0.5704547679182406,0.5704547679182406,all_2014J,9211,5339,0.5796330474432744,0.6903052580496859,0.769859694464954,1.328184612421182,0.6663417116988819,0.274351664209462,0.24365857775489722
oulad,all,day28,gender,M,logistic,oulad__day28__gender__logistic,0.5704547679182406,0.5704547679182406,0.5704547679182406,unseen_student_2014J,8430,4771,0.5659549228944247,0.7121507486156483,0.7759431681194949,1.3710335165054164,0.6805019725797353,0.2571923255907687,0.24564994814599048
oulad,all,day28,gender,M,histgb,oulad__day28__gender__histgb,0.5638066558318378,0.5638066558318378,0.5638066558318378,all_2014J,9211,5339,0.5796330474432744,0.8141965929020663,0.8265275610020079,1.425949684283479,0.7506237964750263,0.16394311387436988,0.24365857775489722
oulad,all,day28,gender,M,histgb,oulad__day28__gender__histgb,0.5638066558318378,0.5638066558318378,0.5638066558318378,unseen_student_2014J,8430,4771,0.5659549228944247,0.8150714589356793,0.8211935792975211,1.450987607100839,0.7525705173411215,0.1657628530713291,0.24564994814599048
oulad,all,day28,disability,Y,logistic,oulad__day28__disability__logistic,0.08127261429870457,0.08127261429870457,0.08127261429870457,all_2014J,9211,854,0.09271523178807947,0.6670904280555167,0.14582198937747176,1.572794313999874,0.6303013726730371,0.0825327318215553,0.08411911758256217
oulad,all,day28,disability,Y,logistic,oulad__day28__disability__logistic,0.08127261429870457,0.08127261429870457,0.08127261429870457,unseen_student_2014J,8430,755,0.08956109134045077,0.6649225791142653,0.1359003016228303,1.5174033677886878,0.6305334685160817,0.08043339915353766,0.08153990225835821
oulad,all,day28,disability,Y,histgb,oulad__day28__disability__histgb,0.08379251234003667,0.08379251234003667,0.08379251234003667,all_2014J,9211,854,0.09271523178807947,0.6662637360481711,0.14888475735309276,1.6058284543083576,0.6234422810646336,0.08204886616706161,0.08411911758256217
oulad,all,day28,disability,Y,histgb,oulad__day28__disability__histgb,0.08379251234003667,0.08379251234003667,0.08379251234003667,unseen_student_2014J,8430,755,0.08956109134045077,0.6613729102400933,0.14149282581435102,1.579847048496661,0.6196250835903963,0.07974816362501178,0.08153990225835821
oulad,all,day42,gender,M,logistic,oulad__day42__gender__logistic,0.5498318191745918,0.5498318191745918,0.5498318191745918,all_2014J,9040,5215,0.5768805309734514,0.7664527788744133,0.7569325681033552,1.3121132148905714,0.7471459277223194,0.1806038245979831,0.2440893839572402
oulad,all,day42,gender,M,logistic,oulad__day42__gender__logistic,0.5498318191745918,0.5498318191745918,0.5498318191745918,unseen_student_2014J,8303,4683,0.5640130073467421,0.7747253790895245,0.7585003564382793,1.3448277726899496,0.7512869813584577,0.1806673627828393,0.24590233489042596
oulad,all,day42,gender,M,histgb,oulad__day42__gender__histgb,0.4744004742266953,0.4744004742266953,0.4744004742266953,all_2014J,9040,5215,0.5768805309734514,0.7765871449250841,0.7798609850246532,1.3518587353063978,0.743618270574449,0.17754716654315808,0.2440893839572402
oulad,all,day42,gender,M,histgb,oulad__day42__gender__histgb,0.4744004742266953,0.4744004742266953,0.4744004742266953,unseen_student_2014J,8303,4683,0.5640130073467421,0.785069246587221,0.7805641384800092,1.3839470514199266,0.7472535254470443,0.17704889546256822,0.24590233489042596
oulad,all,day42,disability,Y,logistic,oulad__day42__disability__logistic,0.09661878907469748,0.09661878907469748,0.09661878907469748,all_2014J,9040,833,0.09214601769911504,0.6670278687812398,0.14214707156416656,1.5426284837215676,0.6153919347683023,0.08247014996284809,0.08365512912130942
oulad,all,day42,disability,Y,logistic,oulad__day42__disability__logistic,0.09661878907469748,0.09661878907469748,0.09661878907469748,unseen_student_2014J,8303,737,0.08876309767553896,0.659343323753233,0.13330772123076792,1.5018371904736312,0.6074793288980087,0.08013185785021663,0.08088421016658169
oulad,all,day42,disability,Y,histgb,oulad__day42__disability__histgb,0.08917949409465323,0.08917949409465323,0.08917949409465323,all_2014J,9040,833,0.09214601769911504,0.6603044775848685,0.14426823779687142,1.5656481028616058,0.6145643099447651,0.08196010218745298,0.08365512912130942
oulad,all,day42,disability,Y,histgb,oulad__day42__disability__histgb,0.08917949409465323,0.08917949409465323,0.08917949409465323,unseen_student_2014J,8303,737,0.08876309767553896,0.652212407790189,0.13387014363112032,1.5081734091847925,0.6065020402995476,0.07966580553943906,0.08088421016658169
oulad,all,day56,gender,M,logistic,oulad__day56__gender__logistic,0.5715429780514037,0.5715429780514037,0.5715429780514037,all_2014J,8877,5127,0.5775599864819195,0.8106140302971198,0.8193609599023642,1.418659496987183,0.7502008972108445,0.1664830091675604,0.24398444849692447
oulad,all,day56,gender,M,logistic,oulad__day56__gender__logistic,0.5715429780514037,0.5715429780514037,0.5715429780514037,unseen_student_2014J,8162,4610,0.5648125459446214,0.8144974692697035,0.8169382780292049,1.4463883352005142,0.7541162841257744,0.1671048199217125,0.24579933388817635
oulad,all,day56,gender,M,histgb,oulad__day56__gender__histgb,0.5599875619342339,0.5599875619342339,0.5599875619342339,all_2014J,8877,5127,0.5775599864819195,0.8169739288732853,0.827283173582914,1.4323761911245423,0.751713282621416,0.16308685353357227,0.24398444849692447
oulad,all,day56,gender,M,histgb,oulad__day56__gender__histgb,0.5599875619342339,0.5599875619342339,0.5599875619342339,unseen_student_2014J,8162,4610,0.5648125459446214,0.8173745260987669,0.8212599358172095,1.454039825626912,0.7534839679701393,0.1647558891171372,0.24579933388817635
oulad,all,day56,disability,Y,logistic,oulad__day56__disability__logistic,0.08263418989372087,0.08263418989372087,0.08263418989372087,all_2014J,8877,811,0.09135969359017686,0.6710694110212203,0.14802700501378166,1.6202659969264364,0.6261707130721486,0.08128802087710078,0.08301309997728586
oulad,all,day56,disability,Y,logistic,oulad__day56__disability__logistic,0.08263418989372087,0.08263418989372087,0.08263418989372087,unseen_student_2014J,8162,718,0.08796863513844647,0.6674431858152758,0.1386888799565466,1.5765719195060353,0.6264466418898995,0.07899849917922634,0.08023015437032535
oulad,all,day56,disability,Y,histgb,oulad__day56__disability__histgb,0.08743656181759978,0.08743656181759978,0.08743656181759978,all_2014J,8877,811,0.09135969359017686,0.6685897143877437,0.14464619604209727,1.58326052067287,0.6319995517865403,0.08144562728559328,0.08301309997728586
oulad,all,day56,disability,Y,histgb,oulad__day56__disability__histgb,0.08743656181759978,0.08743656181759978,0.08743656181759978,unseen_student_2014J,8162,718,0.08796863513844647,0.6638020712499195,0.13587411959330925,1.5445746018392619,0.6278689610372115,0.07909134121674999,0.08023015437032535
oulad,all,day70,gender,M,logistic,oulad__day70__gender__logistic,0.24913640958585753,0.24913640958585753,0.24913640958585753,all_2014J,8694,5010,0.5762594893029676,0.790714499340082,0.8079120829310498,1.4019935427150791,0.7376868413011112,0.1994007068172405,0.24418449029125058
oulad,all,day70,gender,M,logistic,oulad__day70__gender__logistic,0.24913640958585753,0.24913640958585753,0.24913640958585753,unseen_student_2014J,8013,4517,0.5637089729190066,0.8006560772955866,0.8097915424178809,1.436541870576595,0.7418532087526957,0.19197269252416946,0.24594116676960529
oulad,all,day70,gender,M,histgb,oulad__day70__gender__histgb,0.40333431408174725,0.40333431408174725,0.40333431408174725,all_2014J,8694,5010,0.5762594893029676,0.7988629689589334,0.8120253485092828,1.4091314131616177,0.745212018958825,0.17006547078360423,0.24418449029125058
oulad,all,day70,gender,M,histgb,oulad__day70__gender__histgb,0.40333431408174725,0.40333431408174725,0.40333431408174725,unseen_student_2014J,8013,4517,0.5637089729190066,0.8055373952153295,0.8116465457523987,1.4398325816059268,0.7485123895033712,0.16978706634746438,0.24594116676960529
oulad,all,day70,disability,Y,logistic,oulad__day70__disability__logistic,0.07894905559543891,0.07894905559543891,0.07894905559543891,all_2014J,8694,783,0.09006211180124224,0.6629498703084586,0.1367235099308419,1.5181024206114169,0.6264367816091954,0.08127179825130933,0.08195092781914279
oulad,all,day70,disability,Y,logistic,oulad__day70__disability__logistic,0.07894905559543891,0.07894905559543891,0.07894905559543891,unseen_student_2014J,8013,694,0.08660925995257707,0.6585112846316464,0.12822774299225506,1.480531562819798,0.6252393497954281,0.07893336261021615,0.079108096043044
oulad,all,day70,disability,Y,histgb,oulad__day70__disability__histgb,0.07895007141576017,0.07895007141576017,0.07895007141576017,all_2014J,8694,783,0.09006211180124224,0.6589687992841176,0.13759031735323476,1.5277269719910893,0.6167296518596977,0.08078831159437665,0.08195092781914279
oulad,all,day70,disability,Y,histgb,oulad__day70__disability__histgb,0.07895007141576017,0.07895007141576017,0.07895007141576017,unseen_student_2014J,8013,694,0.08660925995257707,0.6545501759464629,0.1303873974424573,1.5054671696057786,0.6138917184084849,0.07828133010116146,0.079108096043044
oulad,all,day90,gender,M,logistic,oulad__day90__gender__logistic,0.44351037808862004,0.44351037808862004,0.44351037808862004,all_2014J,8532,4905,0.5748945147679325,0.812328029078547,0.8234960784020817,1.4324298758260063,0.7480779980927954,0.1669772192130374,0.24439081165767593
