dataset,subject,stage,target_field,positive_class,model,config_id,threshold_median,threshold_min,threshold_max,evaluation_cohort,n,positive_cases,prevalence,auroc,average_precision,ap_lift_over_prevalence,balanced_accuracy,brier,constant_prevalence_brier
oulad,all,day14,disability,Y,logistic,oulad__day14__disability__logistic,0.0984708614156545,0.0984708614156545,0.0984708614156545,all_2014J,9331,868,0.0930232558139534,0.6803991187445921,0.1562706185715341,1.6799091496439924,0.6411438024341249,0.0817517469651859,0.0843699296917252
oulad,all,day28,disability,Y,logistic,oulad__day28__disability__logistic,0.0812726142987045,0.0812726142987045,0.0812726142987045,all_2014J,9211,854,0.0927152317880794,0.6670904280555167,0.1458219893774717,1.572794313999874,0.6303013726730371,0.0825327318215553,0.0841191175825621
oulad,all,day42,disability,Y,logistic,oulad__day42__disability__logistic,0.0966187890746974,0.0966187890746974,0.0966187890746974,all_2014J,9040,833,0.092146017699115,0.6670278687812398,0.1421470715641665,1.5426284837215676,0.6153919347683023,0.082470149962848,0.0836551291213094
oulad,all,day56,disability,Y,logistic,oulad__day56__disability__logistic,0.0826341898937208,0.0826341898937208,0.0826341898937208,all_2014J,8877,811,0.0913596935901768,0.6710694110212203,0.1480270050137816,1.6202659969264364,0.6261707130721486,0.0812880208771007,0.0830130999772858
oulad,all,day70,disability,Y,logistic,oulad__day70__disability__logistic,0.0789490555954389,0.0789490555954389,0.0789490555954389,all_2014J,8694,783,0.0900621118012422,0.6629498703084586,0.1367235099308419,1.5181024206114169,0.6264367816091954,0.0812717982513093,0.0819509278191427
oulad,all,day90,disability,Y,logistic,oulad__day90__disability__logistic,0.0910360589229315,0.0910360589229315,0.0910360589229315,all_2014J,8532,761,0.0891936240037505,0.6781857341837157,0.1476504308842663,1.6553922159061245,0.6312592676264781,0.0794289353246955,0.0812381214408281
oulad,all,day14,gender,M,logistic,oulad__day14__gender__logistic,0.3580985825514557,0.3580985825514557,0.3580985825514557,all_2014J,9331,5425,0.5813953488372093,0.8004935099256493,0.8184320844236366,1.4077031852086548,0.7429032258064516,0.1743759788708512,0.243374797187669
oulad,all,day28,gender,M,logistic,oulad__day28__gender__logistic,0.5704547679182406,0.5704547679182406,0.5704547679182406,all_2014J,9211,5339,0.5796330474432744,0.6903052580496859,0.769859694464954,1.328184612421182,0.6663417116988819,0.274351664209462,0.2436585777548972
oulad,all,day42,gender,M,logistic,oulad__day42__gender__logistic,0.5498318191745918,0.5498318191745918,0.5498318191745918,all_2014J,9040,5215,0.5768805309734514,0.7664527788744133,0.7569325681033552,1.3121132148905714,0.7471459277223194,0.1806038245979831,0.2440893839572402
oulad,all,day56,gender,M,logistic,oulad__day56__gender__logistic,0.5715429780514037,0.5715429780514037,0.5715429780514037,all_2014J,8877,5127,0.5775599864819195,0.8106140302971198,0.8193609599023642,1.418659496987183,0.7502008972108445,0.1664830091675604,0.2439844484969244
