dataset,subject,outcome,stage,split,n,max_abs_probability_error,tolerance,status
oulad,all,withdrawal_or_fail,day14,calibration,6654,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day14,test,9331,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day28,calibration,6509,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day28,test,9211,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day42,calibration,6358,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day42,test,9040,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day56,calibration,6210,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day56,test,8877,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day70,calibration,6110,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day70,test,8694,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day90,calibration,5974,1.1102230246251565e-16,1e-12,PASS
oulad,all,withdrawal_or_fail,day90,test,8532,1.1102230246251565e-16,1e-12,PASS
uci320,mathematics,fail_g3_lt_10,baseline,oof_test,395,9.71445146547012e-17,1e-12,PASS
uci320,mathematics,fail_g3_lt_10,period1,oof_test,395,1.1102230246251565e-16,1e-12,PASS
uci320,mathematics,fail_g3_lt_10,period2,oof_test,395,1.1102230246251565e-16,1e-12,PASS
uci320,portuguese,fail_g3_lt_10,baseline,oof_test,649,9.93129189996722e-17,1e-12,PASS
uci320,portuguese,fail_g3_lt_10,period1,oof_test,649,1.1102230246251565e-16,1e-12,PASS
uci320,portuguese,fail_g3_lt_10,period2,oof_test,649,1.1102230246251565e-16,1e-12,PASS
