config_id,dataset,subject,outcome,stage,policy,model,selected_max_leaf_nodes,raw_feature_count,path,size_bytes,sha256
oulad__day14__full_control__histgb,oulad,all,withdrawal_or_fail,day14,full_control,histgb,7,30,models/oulad__day14__full_control__histgb.joblib,93433,0a3be01ed755bbf6a285a33e7ba1a709bbd3868dd0d171c327ce6dcdf0d708aa
oulad__day14__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day14,no_socioeconomic_family,histgb,7,28,models/oulad__day14__no_socioeconomic_family__histgb.joblib,94363,f32b9fb1491a4e48f634c8cd11db2087d4f8c07d9171a7e54d83b5b41be5cebf
oulad__day28__full_control__histgb,oulad,all,withdrawal_or_fail,day28,full_control,histgb,15,32,models/oulad__day28__full_control__histgb.joblib,197066,f154a016e2474a003cacee1a0a6d6ef033696723a6a6d36ec2f9233b713fc725
oulad__day28__no_gender__histgb,oulad,all,withdrawal_or_fail,day28,no_gender,histgb,15,31,models/oulad__day28__no_gender__histgb.joblib,198172,31a8032b8d3e0d792686d074c446f41f5ce5a889802c4e8e448d95de13de2da8
oulad__day28__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day28,no_socioeconomic_family,histgb,7,30,models/oulad__day28__no_socioeconomic_family__histgb.joblib,96086,cfb82611e321b302a5ed892ea625eb3ada41346225e78f11d815bdc4181b06b1
oulad__day42__full_control__histgb,oulad,all,withdrawal_or_fail,day42,full_control,histgb,7,32,models/oulad__day42__full_control__histgb.joblib,95359,bec060e3167c919ed86e2cf8152ba8947ac0e8b9460590163f30d5f284ba1ddf
oulad__day42__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day42,no_socioeconomic_family,histgb,7,30,models/oulad__day42__no_socioeconomic_family__histgb.joblib,95216,825d560649ff59d853e8f492be693089f98884b769d849010e8a78d86290bb07
oulad__day56__full_control__histgb,oulad,all,withdrawal_or_fail,day56,full_control,histgb,7,32,models/oulad__day56__full_control__histgb.joblib,95570,804f603d468ee3aac0519e4b6c027fb52c6fff6bf7f101eb8292451dfdbfefc7
oulad__day56__no_gender__histgb,oulad,all,withdrawal_or_fail,day56,no_gender,histgb,7,31,models/oulad__day56__no_gender__histgb.joblib,95495,7269aeb7319b201fd72566a125e70338a0d6be8aaa5da68e3c8c1ccfd303bc2e
oulad__day56__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day56,no_socioeconomic_family,histgb,15,30,models/oulad__day56__no_socioeconomic_family__histgb.joblib,199747,db9422c0813aa12d747c1f18ce5fbbfd373823b6041fe4ca6cd85be7bbbbeebf
oulad__day70__full_control__histgb,oulad,all,withdrawal_or_fail,day70,full_control,histgb,7,32,models/oulad__day70__full_control__histgb.joblib,94933,557b305f07f08335665a0f74e8e0f189b9585417dbbd052b8fcefc146f210011
oulad__day70__no_gender__histgb,oulad,all,withdrawal_or_fail,day70,no_gender,histgb,7,31,models/oulad__day70__no_gender__histgb.joblib,95736,a65181b38a5782f77dc131e14f515e649bcdc33fef2349847cf288e7ab119d8a
oulad__day70__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day70,no_socioeconomic_family,histgb,7,30,models/oulad__day70__no_socioeconomic_family__histgb.joblib,95477,dc22e3811eb14970b641766ff86e1b76ac81d697be96d0b967df7c93d10c5c1b
oulad__day90__full_control__histgb,oulad,all,withdrawal_or_fail,day90,full_control,histgb,7,32,models/oulad__day90__full_control__histgb.joblib,96911,7bb1e94917b57c5f405a27dfb3c76f19accdc52c2efc427104e917a92a9f497a
oulad__day90__no_gender__histgb,oulad,all,withdrawal_or_fail,day90,no_gender,histgb,7,31,models/oulad__day90__no_gender__histgb.joblib,97015,3f33fc59111271e52a43f7e078f5585cf4724510be7a188657134aa35b6e20cf
oulad__day90__no_socioeconomic_family__histgb,oulad,all,withdrawal_or_fail,day90,no_socioeconomic_family,histgb,7,30,models/oulad__day90__no_socioeconomic_family__histgb.joblib,97070,818c96fd14292124f0f8f3f49ad49599a90bb16a3b12985f525ec640d7b4e0ae
uci320__mathematics__fail_g3_lt_10__baseline__full_control__histgb,uci320,mathematics,fail_g3_lt_10,baseline,full_control,histgb,fold_specific,30,models/uci320__mathematics__fail_g3_lt_10__baseline__full_control__histgb.joblib,587925,9230ef3758c1966f527741cf86b51c45b0b4490ad3950b8b49a5307964af8a1b
uci320__mathematics__fail_g3_lt_10__baseline__no_socioeconomic_family__histgb,uci320,mathematics,fail_g3_lt_10,baseline,no_socioeconomic_family,histgb,fold_specific,26,models/uci320__mathematics__fail_g3_lt_10__baseline__no_socioeconomic_family__histgb.joblib,573839,272882ed93caaf0712575c13c2dec53b1beed15f615d87c6584c8c7a66fe217e
uci320__mathematics__fail_g3_lt_10__period1__full_control__histgb,uci320,mathematics,fail_g3_lt_10,period1,full_control,histgb,fold_specific,31,models/uci320__mathematics__fail_g3_lt_10__period1__full_control__histgb.joblib,516038,538326002966649c9040f6c73ec05dd46581a7d1d6c27e12acac6929e0343cbf
uci320__mathematics__fail_g3_lt_10__period1__no_socioeconomic_family__histgb,uci320,mathematics,fail_g3_lt_10,period1,no_socioeconomic_family,histgb,fold_specific,27,models/uci320__mathematics__fail_g3_lt_10__period1__no_socioeconomic_family__histgb.joblib,510490,7b46002e895562cc0b3b1aaa3a0280df485e95f500ab672c4087e75706212bc1
