pair_id,dataset,subject,outcome,stage,block,pair_source,n,positives
oulad__all__withdrawal_or_fail__day14__sex_gender,oulad,all,withdrawal_or_fail,day14,sex_gender,reused_C12_same_run,9331,3885
oulad__all__withdrawal_or_fail__day14__socioeconomic_family,oulad,all,withdrawal_or_fail,day14,socioeconomic_family,new_C14D_same_run,9331,3885
oulad__all__withdrawal_or_fail__day28__sex_gender,oulad,all,withdrawal_or_fail,day28,sex_gender,new_C14D_same_run,9211,3755
oulad__all__withdrawal_or_fail__day28__socioeconomic_family,oulad,all,withdrawal_or_fail,day28,socioeconomic_family,new_C14D_same_run,9211,3755
oulad__all__withdrawal_or_fail__day42__sex_gender,oulad,all,withdrawal_or_fail,day42,sex_gender,reused_C12_same_run,9040,3584
oulad__all__withdrawal_or_fail__day42__socioeconomic_family,oulad,all,withdrawal_or_fail,day42,socioeconomic_family,new_C14D_same_run,9040,3584
oulad__all__withdrawal_or_fail__day56__sex_gender,oulad,all,withdrawal_or_fail,day56,sex_gender,new_C14D_same_run,8877,3420
oulad__all__withdrawal_or_fail__day56__socioeconomic_family,oulad,all,withdrawal_or_fail,day56,socioeconomic_family,new_C14D_same_run,8877,3420
oulad__all__withdrawal_or_fail__day70__sex_gender,oulad,all,withdrawal_or_fail,day70,sex_gender,new_C14D_same_run,8694,3237
oulad__all__withdrawal_or_fail__day70__socioeconomic_family,oulad,all,withdrawal_or_fail,day70,socioeconomic_family,new_C14D_same_run,8694,3237
oulad__all__withdrawal_or_fail__day90__sex_gender,oulad,all,withdrawal_or_fail,day90,sex_gender,new_C14D_same_run,8532,3075
oulad__all__withdrawal_or_fail__day90__socioeconomic_family,oulad,all,withdrawal_or_fail,day90,socioeconomic_family,new_C14D_same_run,8532,3075
uci320__mathematics__fail_g3_lt_10__baseline__sex_gender,uci320,mathematics,fail_g3_lt_10,baseline,sex_gender,reused_C13_same_run,395,130
uci320__mathematics__fail_g3_lt_10__baseline__socioeconomic_family,uci320,mathematics,fail_g3_lt_10,baseline,socioeconomic_family,new_C14D_same_run,395,130
uci320__mathematics__fail_g3_lt_10__period1__sex_gender,uci320,mathematics,fail_g3_lt_10,period1,sex_gender,reused_C13_same_run,395,130
uci320__mathematics__fail_g3_lt_10__period1__socioeconomic_family,uci320,mathematics,fail_g3_lt_10,period1,socioeconomic_family,new_C14D_same_run,395,130
uci320__mathematics__fail_g3_lt_10__period2__sex_gender,uci320,mathematics,fail_g3_lt_10,period2,sex_gender,reused_C13_same_run,395,130
uci320__mathematics__fail_g3_lt_10__period2__socioeconomic_family,uci320,mathematics,fail_g3_lt_10,period2,socioeconomic_family,new_C14D_same_run,395,130
uci320__portuguese__fail_g3_lt_10__baseline__sex_gender,uci320,portuguese,fail_g3_lt_10,baseline,sex_gender,reused_C13_same_run,649,100
uci320__portuguese__fail_g3_lt_10__baseline__socioeconomic_family,uci320,portuguese,fail_g3_lt_10,baseline,socioeconomic_family,new_C14D_same_run,649,100
uci320__portuguese__fail_g3_lt_10__period1__sex_gender,uci320,portuguese,fail_g3_lt_10,period1,sex_gender,reused_C13_same_run,649,100
uci320__portuguese__fail_g3_lt_10__period1__socioeconomic_family,uci320,portuguese,fail_g3_lt_10,period1,socioeconomic_family,new_C14D_same_run,649,100
uci320__portuguese__fail_g3_lt_10__period2__sex_gender,uci320,portuguese,fail_g3_lt_10,period2,sex_gender,reused_C13_same_run,649,100
uci320__portuguese__fail_g3_lt_10__period2__socioeconomic_family,uci320,portuguese,fail_g3_lt_10,period2,socioeconomic_family,new_C14D_same_run,649,100
uci697__all__dropout_vs_all_other__enrollment__socioeconomic_family,uci697,all,dropout_vs_all_other,enrollment,socioeconomic_family,reused_C13_same_run,4424,1421
uci697__all__dropout_vs_all_other__semester1__socioeconomic_family,uci697,all,dropout_vs_all_other,semester1,socioeconomic_family,reused_C13_same_run,4424,1421
uci697__all__dropout_vs_graduate__enrollment__sex_gender,uci697,all,dropout_vs_graduate,enrollment,sex_gender,reused_C13_same_run,3630,1421
uci697__all__dropout_vs_graduate__enrollment__socioeconomic_family,uci697,all,dropout_vs_graduate,enrollment,socioeconomic_family,reused_C13_same_run,3630,1421
uci697__all__dropout_vs_graduate__semester1__sex_gender,uci697,all,dropout_vs_graduate,semester1,sex_gender,reused_C13_same_run,3630,1421
uci697__all__dropout_vs_graduate__semester1__socioeconomic_family,uci697,all,dropout_vs_graduate,semester1,socioeconomic_family,reused_C13_same_run,3630,1421
