pair_id,side,n,positives,average_precision,auroc,brier,alerts_at_10,precision_at_10,recall_at_10
oulad__all__withdrawal_or_fail__day14__sex_gender,full,9331,3885,0.6366484237853657,0.7073367344575571,0.2153607814550062,935,0.7572192513368984,0.18223938223938224
oulad__all__withdrawal_or_fail__day14__sex_gender,restricted,9331,3885,0.6365496309012065,0.7074051492340144,0.21535997750942196,935,0.7572192513368984,0.18223938223938224
oulad__all__withdrawal_or_fail__day14__socioeconomic_family,full,9331,3885,0.6366484237853657,0.7073367344575571,0.2153607814550062,935,0.7572192513368984,0.18223938223938224
oulad__all__withdrawal_or_fail__day14__socioeconomic_family,restricted,9331,3885,0.6168987857119094,0.6932571152549118,0.21989802557302104,935,0.7197860962566844,0.17323037323037324
oulad__all__withdrawal_or_fail__day28__sex_gender,full,9211,3755,0.6799420283695042,0.7353842481774057,0.20120978866851247,923,0.8277356446370531,0.20346205059920106
oulad__all__withdrawal_or_fail__day28__sex_gender,restricted,9211,3755,0.6804925291734034,0.7357007372379349,0.20093930709705968,923,0.8255687973997833,0.2029294274300932
oulad__all__withdrawal_or_fail__day28__socioeconomic_family,full,9211,3755,0.6799420283695042,0.7353842481774057,0.20120978866851247,923,0.8277356446370531,0.20346205059920106
oulad__all__withdrawal_or_fail__day28__socioeconomic_family,restricted,9211,3755,0.6652899942492483,0.722330148267608,0.2052129259418137,923,0.8320693391115926,0.20452729693741678
oulad__all__withdrawal_or_fail__day42__sex_gender,full,9040,3584,0.6943168428968944,0.7603274961870287,0.19092349066529285,908,0.8469162995594713,0.21456473214285715
oulad__all__withdrawal_or_fail__day42__sex_gender,restricted,9040,3584,0.694313208676182,0.7598310581649954,0.1911405663636373,908,0.8524229074889867,0.21595982142857142
oulad__all__withdrawal_or_fail__day42__socioeconomic_family,full,9040,3584,0.6943168428968944,0.7603274961870287,0.19092349066529288,908,0.8469162995594713,0.21456473214285715
oulad__all__withdrawal_or_fail__day42__socioeconomic_family,restricted,9040,3584,0.678571186644963,0.7472307375399299,0.19590507847272257,908,0.8381057268722467,0.21233258928571427
oulad__all__withdrawal_or_fail__day56__sex_gender,full,8877,3420,0.7237203553135708,0.781315028607497,0.18189666440005575,890,0.9,0.23421052631578948
oulad__all__withdrawal_or_fail__day56__sex_gender,restricted,8877,3420,0.7248351995952709,0.7813158859215108,0.18192017094179952,890,0.9056179775280899,0.23567251461988303
oulad__all__withdrawal_or_fail__day56__socioeconomic_family,full,8877,3420,0.7237203553135708,0.781315028607497,0.18189666440005575,890,0.9,0.23421052631578948
oulad__all__withdrawal_or_fail__day56__socioeconomic_family,restricted,8877,3420,0.7148539885116093,0.7691481620795009,0.18559331076435256,890,0.8943820224719101,0.2327485380116959
oulad__all__withdrawal_or_fail__day70__sex_gender,full,8694,3237,0.7378132033622132,0.7914716052578111,0.17302682127509675,873,0.9335624284077892,0.2517763361136855
oulad__all__withdrawal_or_fail__day70__sex_gender,restricted,8694,3237,0.737090817160514,0.791228346379131,0.17331762240376286,873,0.9312714776632303,0.2511584800741427
oulad__all__withdrawal_or_fail__day70__socioeconomic_family,full,8694,3237,0.7378132033622132,0.7914716052578111,0.17302682127509675,873,0.9335624284077892,0.2517763361136855
oulad__all__withdrawal_or_fail__day70__socioeconomic_family,restricted,8694,3237,0.7305567547112766,0.7846300695940045,0.17566447521863046,873,0.9289805269186713,0.2505406240345999
oulad__all__withdrawal_or_fail__day90__sex_gender,full,8532,3075,0.7321889652243373,0.7926866812373456,0.17037884644422813,855,0.9368421052631579,0.2604878048780488
oulad__all__withdrawal_or_fail__day90__sex_gender,restricted,8532,3075,0.7322427536755943,0.7924737228680698,0.1704167902262763,855,0.9368421052631579,0.2604878048780488
oulad__all__withdrawal_or_fail__day90__socioeconomic_family,full,8532,3075,0.7321889652243373,0.7926866812373456,0.17037884644422813,855,0.9368421052631579,0.2604878048780488
oulad__all__withdrawal_or_fail__day90__socioeconomic_family,restricted,8532,3075,0.7263348537765981,0.7862637233299216,0.17237405096824515,855,0.9461988304093567,0.2630894308943089
uci320__mathematics__fail_g3_lt_10__baseline__sex_gender,full,395,130,0.4324340311527223,0.6181712626995646,0.21581566626421766,40,0.575,0.17692307692307693
uci320__mathematics__fail_g3_lt_10__baseline__sex_gender,restricted,395,130,0.42895773449208724,0.6168359941944848,0.21606532282998064,40,0.525,0.16153846153846155
uci320__mathematics__fail_g3_lt_10__baseline__socioeconomic_family,full,395,130,0.4324340311527223,0.6181712626995646,0.21581566626421766,40,0.575,0.17692307692307693
uci320__mathematics__fail_g3_lt_10__baseline__socioeconomic_family,restricted,395,130,0.4483369591433823,0.628243831640058,0.21317860961934296,40,0.475,0.14615384615384616
uci320__mathematics__fail_g3_lt_10__period1__sex_gender,full,395,130,0.8247413251271486,0.9060957910014514,0.1185587111596782,40,0.925,0.2846153846153846
uci320__mathematics__fail_g3_lt_10__period1__sex_gender,restricted,395,130,0.8331106036022559,0.9110595065312046,0.11578075636700982,40,0.975,0.3
uci320__mathematics__fail_g3_lt_10__period1__socioeconomic_family,full,395,130,0.8247413251271486,0.9060957910014514,0.11855871115967821,40,0.925,0.2846153846153846
uci320__mathematics__fail_g3_lt_10__period1__socioeconomic_family,restricted,395,130,0.8140966661138228,0.9054862119013063,0.12065995738392574,40,0.925,0.2846153846153846
