analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,task_id,resampling_stream,draw_file,draw_prefix,draw_file_sha256,bootstrap_unit,bootstrap_units,observations,first_multiplicity_sha256
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_age_band,c14b__day14__loo_no_age_band__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_age_band,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c000,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_age_band,c14b__day42__loo_no_age_band__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_age_band,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c000,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_disability,c14b__day14__loo_no_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_disability,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c001,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_disability,c14b__day42__loo_no_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_disability,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c001,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_gender,c14b__day14__loo_no_gender__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_gender,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c002,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_gender,c14b__day42__loo_no_gender__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_gender,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c002,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_highest_education,c14b__day14__loo_no_highest_education__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_highest_education,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c003,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_highest_education,c14b__day42__loo_no_highest_education__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_highest_education,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c003,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_imd_band,c14b__day14__loo_no_imd_band__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_imd_band,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c004,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_imd_band,c14b__day42__loo_no_imd_band__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_imd_band,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c004,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
