family_id,analysis_source,dataset,subject,outcome,contrast_name,cells,negative_estimates,zero_estimates,positive_estimates,familywise_negative_cells,familywise_positive_cells,minimum_estimate,maximum_estimate
c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,C14B_frozen,oulad,all,future_fail_or_withdrawn,minimized,24,19,0,5,3,0,-0.04064171122994653,0.01754385964912275
c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,C14B_frozen,oulad,all,future_fail_or_withdrawn,partial_gender_disability,24,12,1,11,0,0,-0.005422993492407824,0.005350454788657033
c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,C14B_frozen,uci320,mathematics,fail_g3_lt_10,no_demographic_family,12,7,3,2,0,0,-0.19047619047619047,0.10084033613445381
c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_sensitive_wellbeing,C14B_frozen,uci320,mathematics,fail_g3_lt_10,no_sensitive_wellbeing,12,5,3,4,0,0,-0.04761904761904767,0.050420168067226934
c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|school_observable_only,C14B_frozen,uci320,mathematics,fail_g3_lt_10,school_observable_only,12,4,3,5,0,0,-0.1428571428571429,0.10084033613445381
c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|targeted_no_sex,C14B_frozen,uci320,mathematics,fail_g3_lt_10,targeted_no_sex,12,7,2,3,0,0,-0.04999999999999993,0.04999999999999993
c14b|uci320|portuguese|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,C14B_frozen,uci320,portuguese,fail_g3_lt_10,no_demographic_family,12,4,3,5,0,0,-0.030303030303030387,0.14705882352941174
c14b|uci320|portuguese|fail_g3_lt_10|histgb|c13_selected|no_sensitive_wellbeing,C14B_frozen,uci320,portuguese,fail_g3_lt_10,no_sensitive_wellbeing,12,5,2,5,0,0,-0.03030303030303033,0.05882352941176472
c14b|uci320|portuguese|fail_g3_lt_10|histgb|c13_selected|school_observable_only,C14B_frozen,uci320,portuguese,fail_g3_lt_10,school_observable_only,12,4,3,5,0,0,-0.030303030303030387,0.05882352941176472
c14b|uci320|portuguese|fail_g3_lt_10|histgb|c13_selected|targeted_no_sex,C14B_frozen,uci320,portuguese,fail_g3_lt_10,targeted_no_sex,12,5,1,6,0,0,-0.045454545454545525,0.02941176470588236
c14b|uci697|all|dropout_vs_graduate|histgb|c13_selected|legacy_operational,C14B_frozen,uci697,all,dropout_vs_graduate,legacy_operational,8,8,0,0,6,0,-0.3492063492063492,-0.013477088948787075
c14b|uci697|all|dropout_vs_graduate|histgb|c13_selected|no_direct_personal,C14B_frozen,uci697,all,dropout_vs_graduate,no_direct_personal,8,5,3,0,0,0,-0.010582010582010581,0.0
c14b|uci697|all|dropout_vs_graduate|histgb|c13_selected|no_family_financial,C14B_frozen,uci697,all,dropout_vs_graduate,no_family_financial,8,8,0,0,6,0,-0.23809523809523803,-0.013477088948787075
c14b|uci697|all|dropout_vs_graduate|histgb|c13_selected|targeted_gender_special_needs,C14B_frozen,uci697,all,dropout_vs_graduate,targeted_gender_special_needs,8,4,2,2,0,0,-0.009124087591240837,0.008086253369272267
c14d|oulad|all|withdrawal_or_fail|sex_gender,C14D_harmonized,oulad,all,withdrawal_or_fail,sex_gender,24,9,3,12,0,0,-0.002290950744558984,0.015350877192982448
c14d|oulad|all|withdrawal_or_fail|socioeconomic_family,C14D_harmonized,oulad,all,withdrawal_or_fail,socioeconomic_family,24,21,0,3,2,0,-0.04051172707889128,0.009356725146198785
c14d|uci320|mathematics|fail_g3_lt_10|sex_gender,C14D_harmonized,uci320,mathematics,fail_g3_lt_10,sex_gender,12,7,2,3,0,0,-0.04999999999999993,0.04999999999999993
c14d|uci320|mathematics|fail_g3_lt_10|socioeconomic_family,C14D_harmonized,uci320,mathematics,fail_g3_lt_10,socioeconomic_family,12,6,4,2,0,0,-0.09999999999999998,0.050420168067226934
c14d|uci320|portuguese|fail_g3_lt_10|sex_gender,C14D_harmonized,uci320,portuguese,fail_g3_lt_10,sex_gender,12,5,1,6,0,0,-0.045454545454545525,0.02941176470588236
c14d|uci320|portuguese|fail_g3_lt_10|socioeconomic_family,C14D_harmonized,uci320,portuguese,fail_g3_lt_10,socioeconomic_family,12,5,3,4,0,0,-0.045454545454545525,0.08823529411764702
c14d|uci697|all|dropout_vs_all_other|socioeconomic_family,C14D_harmonized,uci697,all,dropout_vs_all_other,socioeconomic_family,8,8,0,0,7,0,-0.21777777777777785,-0.008733624454148492
c14d|uci697|all|dropout_vs_graduate|sex_gender,C14D_harmonized,uci697,all,dropout_vs_graduate,sex_gender,8,4,3,1,0,0,-0.010948905109488982,0.008086253369272267
c14d|uci697|all|dropout_vs_graduate|socioeconomic_family,C14D_harmonized,uci697,all,dropout_vs_graduate,socioeconomic_family,8,8,0,0,6,0,-0.23809523809523803,-0.013477088948787075
