analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,metric,budget_fraction,family_size,draw_file,draw_key,estimate,pointwise_ci95_low,pointwise_ci95_high,familywise_bonferroni_low,familywise_bonferroni_high,bootstrap_sign_p_two_sided,bonferroni_adjusted_sign_p,familywise_excludes_zero
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,c14b__day14__minimized__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_fe5191e9abe25d522749.npz,c006__precision_difference__0.05,-0.03624733475479747,-0.07479032833690227,-0.004255319148936176,-0.0997279748673048,0.01698513800424628,0.03279344131173765,0.7870425914817036,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,c14b__day14__minimized__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_fe5191e9abe25d522749.npz,c006__precision_difference__0.10,-0.04064171122994653,-0.06096256684491985,-0.011739594450373536,-0.07346636502589629,0.0,0.003599280143971206,0.08638272345530894,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,c14b__day14__minimized__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.2,24,draws/task_fe5191e9abe25d522749.npz,c006__precision_difference__0.20,-0.021936864633493758,-0.04051172707889128,-0.00749464668094213,-0.04928608269434372,0.004052749402014154,0.008398320335932814,0.20155968806238753,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,c14b__day14__minimized__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_fe5191e9abe25d522749.npz,c006__precision_difference__0.30,-0.020699500356887945,-0.03495038304689848,-0.009285714285714338,-0.042006681547016055,-0.0019303327391562732,0.0015996800639872025,0.03839232153569286,True
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,c14b__day28__minimized__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_8f9ad1b8218c3f11a643.npz,c000__precision_difference__0.05,0.002159827213822907,-0.03010752688172047,0.027956989247311825,-0.04336448228801808,0.04310344827586199,1.0,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,c14b__day28__minimized__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_8f9ad1b8218c3f11a643.npz,c000__precision_difference__0.10,-0.0021668472372697867,-0.017241844288211804,0.020563327517552858,-0.02783020751520934,0.02985434704184715,0.8982203559288142,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,c14b__day28__minimized__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.2,24,draws/task_8f9ad1b8218c3f11a643.npz,c000__precision_difference__0.20,-0.015176151761517542,-0.030911062906724518,0.001621621621621605,-0.03899013229018412,0.00977930779506476,0.08158368326334733,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,c14b__day28__minimized__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.3,24,draws/task_8f9ad1b8218c3f11a643.npz,c000__precision_difference__0.30,-0.01988430947216191,-0.03435835778008653,-0.007233142350003421,-0.04237169830057378,-0.0007977649720186484,0.001999600079984003,0.04799040191961608,True
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,c14b__day42__minimized__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.05,24,draws/task_b708eb63559e33ef5cce.npz,c006__precision_difference__0.05,0.01754385964912275,-0.013157894736842146,0.037444933920704915,-0.02427147354234945,0.05263157894736845,0.3743251349730054,1.0,False
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,c14b__day42__minimized__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,precision_difference,0.1,24,draws/task_b708eb63559e33ef5cce.npz,c006__precision_difference__0.10,-0.00770925110132159,-0.02756415638971852,0.01541850220264318,-0.03870794601240245,0.02749023415879831,0.5906818636272746,1.0,False
